county,confirmed_cases,probable_cases,fatalities,doses_allocated,doses_administered,pop_one_plus_doses,pop_fully_vaccinated,pop_1a,pop_1b,pop_elligible,prop_elligible_vaccinated,case_level
Anderson,4809,1268,110,9800,6163,3869,2323,2884,30438,33322,0.11610947722225556,med
Andrews,1701,0,46,3300,6663,4532,2168,415,7324,7739,0.585605375371495,med
Angelina,4697,3339,265,28300,19615,12711,6935,8286,45742,54028,0.23526689864514697,med
Aransas,879,277,35,2300,6254,3914,2354,622,13531,14153,0.27654914152476506,low
Archer,678,101,12,1600,2739,1561,1181,93,4388,4481,0.34835974112921225,low
Armstrong,107,42,6,1100,693,417,276,118,936,1054,0.3956356736242884,low
Atascosa,4086,1357,141,8100,8410,5532,2903,1775,24401,26176,0.21133863080684598,med
Austin,1593,310,32,3900,8072,5991,2096,1063,14885,15948,0.37565838976674193,med
Bailey,585,217,17,14545,2909,1695,1214,188,3018,3206,0.5286961946350592,low
Bandera,922,368,26,1300,5100,3423,1716,532,13014,13546,0.25269452236822676,low
Bastrop,6615,1950,84,21400,12644,8854,3813,2158,45967,48125,0.18397922077922077,med
Baylor,122,169,11,3850,1612,911,701,234,1752,1986,0.45871097683786505,low
Bee,3055,372,65,42780,11688,6535,5160,1665,16439,18104,0.3609699513919576,med
Bell,20920,0,379,102420,55029,34753,20433,18360,148510,166870,0.2082639180200156,high
Bexar,169419,29550,3071,672940,486413,306754,180625,117952,923721,1041673,0.29448204954913876,high
Blanco,572,117,18,2600,3210,2190,1033,192,6695,6887,0.3179904167271671,low
Borden,14,8,2,0,157,110,48,9,337,346,0.3179190751445087,low
Bosque,1314,294,31,5400,4913,3254,1674,1031,10446,11477,0.2835235688768842,med
Bowie,4612,2076,191,27890,12626,8340,4302,7799,48237,56036,0.1488328931401242,med
Brazoria,28518,5425,402,90690,93940,59512,34665,12410,163752,176162,0.3378254107015134,high
Brazos,17828,3759,221,63170,47445,33613,13886,8928,87395,96323,0.3489613072682537,high
Brewster,810,82,12,2800,4329,2706,1668,303,5065,5368,0.5040983606557377,low
Briscoe,77,60,4,800,755,431,324,19,856,875,0.49257142857142855,low
Brooks,651,133,36,2000,2452,1519,934,569,3583,4152,0.3658477842003854,low
Brown,1940,2216,115,9100,5901,3998,1904,2574,20020,22594,0.1769496326458352,med
Burleson,1838,400,37,1900,4077,2989,1120,361,9985,10346,0.2889039242219215,med
Burnet,3861,465,60,16495,10002,6851,3207,2418,24225,26643,0.25714071238223923,med
Caldwell,4948,291,89,6900,6850,4765,2112,1810,21920,23730,0.20080067425200168,med
Calhoun,1658,399,20,2200,4051,2754,1349,854,10195,11049,0.24925332609285908,med
Callahan,591,560,38,1900,2925,1946,981,268,7494,7762,0.25070858026281884,low
Cameron,37780,0,1391,143015,123868,78867,45568,36052,203472,239524,0.3292655433275997,high
Camp,798,391,42,1000,2210,1431,783,359,6421,6780,0.21106194690265487,low
Carson,255,149,14,700,1682,1015,667,60,3037,3097,0.3277365192121408,low
Cass,1130,671,79,1900,2996,2152,890,1766,16991,18757,0.11473050061310444,med
Castro,652,251,29,1700,2203,1362,841,295,3745,4040,0.33712871287128715,low
Chambers,4389,0,22,19900,7727,4909,2822,1202,19282,20484,0.23965045889474712,med
Cherokee,2238,1821,128,9800,8786,5360,3480,2238,27331,29569,0.1812709256315736,med
Childress,1314,23,17,2800,2060,1369,691,387,3560,3947,0.34684570559918926,med
Clay,925,81,16,8045,4723,2579,2144,196,5879,6075,0.4245267489711934,low
Cochran,225,30,14,1000,896,628,272,57,1424,1481,0.4240378122889939,low
Coke,249,221,11,0,911,604,307,177,1846,2023,0.2985664854176965,low
Coleman,474,244,31,1400,1625,1091,536,504,4787,5291,0.2061992061992062,low
Collin,70835,13754,754,309090,279854,175306,105813,45956,387538,433494,0.4044023677375004,high
Collingsworth,189,70,9,1300,945,575,371,172,1402,1574,0.3653113087674714,low
Colorado,1307,280,25,5800,5855,3692,2168,1330,11420,12750,0.2895686274509804,med
Comal,4937,4411,274,37700,40112,25829,14393,7302,71482,78784,0.3278457554833469,med
Comanche,1150,347,51,4620,4119,2747,1374,622,7523,8145,0.3372621240024555,med
Concho,178,142,8,1100,934,641,297,142,1504,1646,0.3894289185905225,low
Cooke,3073,463,64,9800,7938,5641,2311,1500,20495,21995,0.2564673789497613,med
Coryell,6688,245,80,16545,10130,6249,3883,1788,32843,34631,0.18044526580231585,med
Cottle,141,47,7,0,325,221,104,5,785,790,0.27974683544303797,low
Crane,199,315,12,2650,1564,949,615,181,1947,2128,0.44595864661654133,low
Crockett,219,356,15,0,1132,650,482,87,1643,1730,0.37572254335260113,low
Crosby,318,207,28,3050,2498,1470,1028,213,3140,3353,0.4384133611691023,low
Culberson,324,23,8,1100,857,577,280,67,1202,1269,0.45468873128447596,low
Dallam,788,134,23,13970,3086,1821,1266,40,2924,2964,0.6143724696356275,low
Dallas,248225,36710,3613,860935,598957,389642,218133,164112,1106420,1270532,0.30667625844921653,high
Dawson,1715,0,68,1800,2014,1307,709,416,6579,6995,0.18684774839170837,med
DeWitt,1884,0,57,0,3591,2528,1065,757,11200,11957,0.21142427030191518,med
Deaf Smith,1992,649,64,3000,3901,2635,1285,385,7755,8140,0.3237100737100737,med
Delta,174,128,11,800,1032,668,367,479,2698,3177,0.2102612527541706,low
Denton,51108,17128,685,270790,208739,122878,86552,29719,373665,403384,0.3046179322928029,high
Dickens,100,57,10,0,588,387,201,21,1214,1235,0.3133603238866397,low
